               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10369,             0.03238,            0.034143,           0.0018209,              0.4381,           0.0013374,          0.00025499,            0.031057,            0.022481,            0.013581,               6e-05,               6e-05,             0.09946
                   1,             0.10202,             0.03172,            0.038135,           0.0025215,            0.095238,           0.0021346,          0.00039751,            0.029997,             0.01995,            0.013137,          0.00012928,          0.00012928,            0.098829
                   2,              0.0962,            0.029997,            0.035783,           0.0025745,             0.20952,           0.0018046,          0.00044458,            0.028401,            0.017879,            0.012819,           0.0001956,           0.0001956,            0.098196
                   3,            0.091122,            0.029164,            0.036858,           0.0083018,            0.047619,           0.0048601,          0.00086971,            0.026236,            0.016529,            0.012611,          0.00025676,          0.00025676,            0.097557
                   4,            0.068227,            0.026734,            0.030073,            0.011833,             0.30476,            0.010154,           0.0018557,            0.024339,            0.015407,            0.012403,          0.00031078,          0.00031078,            0.096911
                   5,            0.081332,             0.02815,              0.0348,            0.080818,            0.047619,             0.02709,           0.0048344,            0.022412,              0.0146,            0.012103,          0.00035596,          0.00035596,            0.096256
                   6,            0.082028,            0.030048,            0.034539,             0.16106,             0.14286,             0.15367,            0.019981,            0.021172,            0.013853,            0.011649,          0.00039096,          0.00039096,            0.095591
                   7,             0.06732,            0.031027,             0.03119,             0.16148,             0.30476,             0.21301,            0.078664,             0.02013,            0.013317,            0.011475,          0.00041486,          0.00041486,            0.094915
                   8,            0.065042,            0.027139,              0.0312,             0.25799,             0.29709,             0.23999,             0.11335,            0.019373,            0.012821,            0.011434,          0.00042722,          0.00042722,            0.094227
                   9,            0.059047,            0.028801,            0.030635,             0.20634,             0.30476,             0.22831,            0.050761,            0.018711,            0.012412,            0.011364,          0.00042807,          0.00042807,            0.093528
                  10,            0.062742,            0.028613,            0.030486,             0.19798,             0.30476,             0.15334,             0.05532,            0.018593,            0.011972,            0.011361,            0.000418,            0.000418,            0.092818
                  11,            0.064143,            0.028626,            0.030955,             0.59081,             0.30476,             0.27439,            0.081441,            0.017756,             0.01169,            0.011243,          0.00039807,          0.00039807,            0.092098
                  12,            0.056145,            0.030779,             0.02691,             0.20435,             0.37143,             0.31781,             0.12752,            0.017203,            0.011521,            0.011122,          0.00036985,          0.00036985,             0.09137
                  13,            0.062186,            0.026856,            0.031933,              0.3542,             0.37143,             0.39588,              0.1849,            0.016405,            0.011403,             0.01098,          0.00033533,          0.00033533,            0.090635
                  14,             0.05737,            0.028076,             0.03022,             0.39305,             0.37143,             0.36219,              0.1549,            0.016094,            0.011198,            0.010828,          0.00029692,          0.00029692,            0.089897
                  15,            0.060975,            0.029558,             0.03192,             0.44655,             0.32381,             0.39642,             0.15435,             0.01582,            0.010978,             0.01084,           0.0002573,           0.0002573,            0.089157
                  16,            0.063956,            0.028394,            0.032504,             0.31806,             0.27619,             0.30744,             0.11849,            0.015118,             0.01089,            0.010657,          0.00021941,          0.00021941,            0.088419
                  17,            0.054277,            0.027437,            0.027846,             0.39957,             0.31457,             0.38238,             0.14126,            0.014627,            0.010775,             0.01063,          0.00018631,          0.00018631,            0.087686
                  18,            0.059344,            0.028523,            0.030469,             0.27812,             0.37143,             0.34057,             0.13111,            0.014432,            0.010677,            0.010656,          0.00016107,          0.00016107,            0.086961
                  19,            0.059164,            0.029314,            0.030089,             0.26468,             0.38157,             0.34727,             0.13148,            0.014299,            0.010666,            0.010609,           0.0001467,           0.0001467,            0.086247
