               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10369,             0.03238,            0.034143,           0.0018209,              0.4381,           0.0013374,          0.00025499,            0.031057,            0.022481,            0.013581,               6e-05,               6e-05,             0.09946
                   1,             0.10201,             0.03172,             0.03814,            0.002514,            0.095238,           0.0023443,          0.00040294,            0.030009,            0.019947,            0.013137,          0.00012997,          0.00012997,             0.09883
                   2,            0.096156,            0.029999,            0.035781,           0.0025731,             0.20952,           0.0018122,          0.00044539,            0.028388,            0.017872,            0.012819,          0.00019982,          0.00019982,              0.0982
                   3,            0.090998,             0.02917,            0.036853,           0.0073595,            0.095238,           0.0049021,          0.00089483,            0.026114,             0.01652,             0.01261,          0.00026946,          0.00026946,            0.097569
                   4,            0.068077,            0.026746,            0.030057,            0.030198,            0.047619,            0.018154,           0.0025664,            0.024101,            0.015388,              0.0124,          0.00033879,          0.00033879,            0.096939
                   5,            0.081065,            0.028175,            0.034802,            0.049304,             0.20952,            0.040123,           0.0069754,            0.021886,             0.01457,             0.01209,          0.00040773,          0.00040773,            0.096308
                   6,            0.081504,            0.030145,            0.034464,             0.16013,             0.14286,             0.15517,            0.020028,            0.020474,            0.013774,            0.011574,          0.00047617,          0.00047617,            0.095676
                   7,            0.066357,            0.031154,            0.031131,             0.19409,             0.30476,             0.21478,            0.052481,            0.019555,            0.013184,            0.011418,          0.00054404,          0.00054404,            0.095044
                   8,            0.063922,            0.027229,            0.030919,             0.26841,             0.30476,             0.25894,             0.11457,            0.018306,            0.012708,            0.011365,          0.00061123,          0.00061123,            0.094411
                   9,            0.057559,            0.028808,            0.030513,             0.60073,             0.29522,             0.26498,            0.086259,            0.017131,            0.012344,            0.011145,          0.00067767,          0.00067767,            0.093778
                  10,            0.061132,            0.028616,            0.029814,             0.58167,             0.25678,             0.21984,            0.092002,            0.016359,            0.011894,            0.011065,          0.00074326,          0.00074326,            0.093143
                  11,            0.061754,            0.028626,            0.030845,             0.68128,             0.32381,             0.34391,             0.18704,            0.014736,            0.011595,            0.010851,          0.00080792,          0.00080792,            0.092508
                  12,            0.052208,            0.030656,            0.026211,             0.64501,             0.37143,             0.38917,             0.18985,            0.014451,            0.011384,            0.010681,          0.00087156,          0.00087156,            0.091872
                  13,            0.056648,            0.026537,            0.031209,             0.37046,             0.41905,             0.43183,             0.19496,            0.015046,            0.011189,            0.010638,           0.0009341,           0.0009341,            0.091234
                  14,            0.052987,            0.027492,            0.028893,             0.28429,             0.55429,             0.38441,             0.16265,            0.014993,            0.010734,            0.010513,          0.00099546,          0.00099546,            0.090595
                  15,            0.054898,            0.028792,            0.031009,             0.19065,             0.72381,             0.35307,             0.17913,            0.014015,            0.010311,             0.01009,           0.0010556,           0.0010556,            0.089956
                  16,            0.056961,            0.026799,            0.030384,             0.43803,              0.5102,             0.52915,             0.27114,            0.013728,           0.0096542,            0.010113,           0.0011143,           0.0011143,            0.089314
                  17,            0.047738,            0.026017,            0.025836,             0.54363,             0.53201,             0.51444,             0.27353,            0.013666,           0.0093772,            0.010023,           0.0011717,           0.0011717,            0.088672
                  18,            0.052581,            0.026475,            0.027897,             0.48104,             0.78764,             0.55428,             0.26388,            0.012568,           0.0090094,            0.010025,           0.0012275,           0.0012275,            0.088028
                  19,            0.053805,            0.026326,            0.027038,             0.38065,             0.82284,             0.49316,             0.30054,            0.012435,           0.0085819,           0.0099695,           0.0012818,           0.0012818,            0.087382
                  20,             0.04406,            0.024258,            0.024234,             0.56284,             0.53573,             0.56473,             0.31747,            0.012158,           0.0082852,           0.0096297,           0.0013345,           0.0013345,            0.086735
                  21,            0.045299,            0.024208,            0.025682,              0.4449,             0.86864,             0.63978,             0.40338,            0.012617,           0.0078337,           0.0092837,           0.0013855,           0.0013855,            0.086086
                  22,            0.045038,            0.023982,            0.025825,             0.50293,             0.77143,             0.63969,             0.39493,             0.01236,           0.0076127,           0.0088345,           0.0014348,           0.0014348,            0.085435
                  23,            0.051776,            0.023357,            0.025038,             0.52125,             0.77593,             0.65706,              0.3612,            0.012397,           0.0073777,           0.0083422,           0.0014822,           0.0014822,            0.084782
                  24,            0.048686,            0.023437,            0.024142,             0.49277,             0.83578,             0.71319,             0.46666,            0.011569,           0.0071021,           0.0081053,           0.0015278,           0.0015278,            0.084128
                  25,            0.045609,            0.021623,            0.024241,             0.52947,             0.63976,             0.68828,             0.49221,            0.016413,           0.0066062,           0.0080242,           0.0015714,           0.0015714,            0.083471
                  26,             0.04441,            0.021846,            0.021773,             0.60342,             0.72381,             0.70233,             0.48707,            0.015099,           0.0065213,           0.0081545,           0.0016131,           0.0016131,            0.082813
                  27,            0.049603,            0.023335,            0.021385,             0.67397,             0.93507,             0.86518,             0.53702,            0.012815,           0.0065915,           0.0079242,           0.0016528,           0.0016528,            0.082153
                  28,            0.039133,            0.022373,             0.01658,             0.67101,             0.79464,             0.81964,             0.54576,            0.012799,           0.0066024,           0.0080755,           0.0016904,           0.0016904,             0.08149
                  29,            0.042851,            0.024273,            0.018031,             0.69202,             0.82872,             0.82063,             0.45216,            0.013288,           0.0064229,           0.0076546,           0.0017259,           0.0017259,            0.080826
                  30,            0.038904,            0.022841,            0.019531,             0.85718,             0.71355,             0.84663,             0.58312,            0.012084,           0.0064728,           0.0073863,           0.0017593,           0.0017593,            0.080159
                  31,            0.037907,             0.02252,            0.018441,              0.6635,             0.87523,             0.81187,             0.49233,            0.012309,           0.0064977,            0.007112,           0.0017906,           0.0017906,            0.079491
                  32,            0.050409,            0.020076,             0.02139,             0.69947,             0.84996,              0.8487,             0.50281,            0.010355,           0.0064022,           0.0068219,           0.0018196,           0.0018196,             0.07882
                  33,             0.05513,            0.021153,            0.016929,             0.81817,             0.74103,              0.8619,             0.48954,            0.012118,           0.0063721,           0.0066898,           0.0018464,           0.0018464,            0.078146
                  34,            0.046945,            0.020907,            0.019583,             0.89007,             0.80768,             0.87067,              0.5377,             0.01108,            0.006319,           0.0059282,            0.001871,            0.001871,            0.077471
                  35,            0.045039,            0.021655,            0.019402,             0.77679,             0.92259,             0.93211,             0.58478,            0.011035,           0.0059588,           0.0058313,           0.0018933,           0.0018933,            0.076793
                  36,            0.042508,            0.021239,            0.016945,             0.74106,             0.85611,             0.89359,             0.59356,           0.0096448,           0.0059006,           0.0060057,           0.0019133,           0.0019133,            0.076113
                  37,            0.047067,            0.021244,            0.016622,             0.59108,             0.92563,             0.81465,             0.40943,            0.012674,           0.0057258,            0.005492,           0.0019311,           0.0019311,            0.075431
                  38,            0.040901,            0.020306,            0.014817,             0.74578,             0.98621,             0.89583,             0.59234,            0.014249,           0.0054826,           0.0050157,           0.0019466,           0.0019466,            0.074747
                  39,            0.046593,            0.022864,            0.013891,             0.83604,              0.9373,             0.94389,             0.59146,            0.010175,           0.0054881,           0.0041985,           0.0019598,           0.0019598,             0.07406
                  40,            0.040662,            0.020005,            0.016073,             0.92573,             0.90395,             0.93767,             0.61933,           0.0097947,           0.0052853,           0.0038785,           0.0019707,           0.0019707,            0.073371
                  41,              0.0353,            0.019877,            0.015448,             0.93014,             0.90151,             0.91667,             0.53753,            0.012102,           0.0050831,           0.0032947,           0.0019793,           0.0019793,            0.072679
                  42,            0.038773,            0.019671,            0.011258,             0.85478,             0.90323,             0.87617,             0.55658,            0.011457,            0.005295,           0.0033258,           0.0019857,           0.0019857,            0.071986
                  43,            0.047158,            0.019746,            0.015119,             0.77228,                   1,             0.91553,             0.61244,            0.010826,           0.0054315,           0.0036363,           0.0019899,           0.0019899,             0.07129
